                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.74644,                 1.2521,                 1.0085,                0.76501,                0.93279,                0.92293,                0.79506,                 0.6015,                 1.1369,                 1.0048,                0.00802,                0.00802,                0.00802
                     62,                0.71796,                 1.3344,                 1.0146,                0.74572,                0.91939,                0.92184,                0.79445,                0.57324,                  1.087,                0.95641,               0.007987,               0.007987,               0.007987
                     63,                0.75849,                 1.2881,                 1.0365,                 0.6384,                0.90061,                0.84754,                0.71379,                0.72929,                 1.6259,                 1.2422,               0.007954,               0.007954,               0.007954
                     64,                0.67614,                  1.231,                 0.9918,                0.66903,                0.90111,                0.86519,                0.74618,                0.58106,                 1.5089,                 1.0666,               0.007921,               0.007921,               0.007921
                     65,                0.61178,                 1.1139,                0.97327,                0.73157,                0.93281,                0.91287,                 0.7787,                0.59032,                 1.2661,                 1.0357,               0.007888,               0.007888,               0.007888
                     66,                 0.6824,                 1.1009,                0.99034,                0.75376,                0.90923,                0.90683,                0.78028,                0.54086,                 1.2628,                0.97542,               0.007855,               0.007855,               0.007855
                     67,                0.72111,                 1.1244,                   1.03,                0.82584,                0.96614,                0.93693,                0.82021,                 0.5315,                0.92136,                0.96625,               0.007822,               0.007822,               0.007822
                     68,                0.72284,                 1.2102,                 1.0013,                0.83318,                0.97163,                0.93936,                0.81148,                0.55808,                 0.9302,                0.98388,               0.007789,               0.007789,               0.007789
                     69,                0.59031,                 1.1587,                0.96429,                0.86182,                0.96055,                0.93763,                0.81147,                 0.5386,                 1.0428,                0.98235,               0.007756,               0.007756,               0.007756
                     70,                0.64917,                  1.141,                0.98976,                0.85998,                0.97457,                0.91971,                0.80174,                0.51157,                0.84182,                0.95329,               0.007723,               0.007723,               0.007723
                     71,                0.72347,                  1.261,                 1.0508,                0.80626,                0.98413,                0.91647,                0.80738,                0.55763,                0.87769,                0.98086,                0.00769,                0.00769,                0.00769
                     72,                0.72192,                  1.162,                 1.0381,                0.79464,                0.96213,                0.92502,                0.80968,                0.53419,                0.88599,                0.96123,               0.007657,               0.007657,               0.007657
                     73,                0.73208,                 1.1654,                0.98626,                  0.824,                0.95414,                0.91606,                0.80468,                0.51223,                0.95269,                0.94859,               0.007624,               0.007624,               0.007624
                     74,                0.65559,                  1.206,                0.98622,                0.79686,                0.92576,                0.91673,                0.80297,                0.57872,                 1.0061,                0.96782,               0.007591,               0.007591,               0.007591
                     75,                0.64598,                 1.1154,                 1.0068,                0.76781,                0.95357,                0.92359,                0.82392,                0.53738,                0.88557,                0.95254,               0.007558,               0.007558,               0.007558
                     76,                0.61303,                 1.2128,                0.91022,                0.77593,                0.96786,                 0.9153,                0.80821,                0.54802,                0.88209,                0.94911,               0.007525,               0.007525,               0.007525
                     77,                0.60974,                  0.995,                 0.9404,                 0.7578,                 0.9881,                0.92301,                0.80361,                0.54041,                0.83321,                0.95687,               0.007492,               0.007492,               0.007492
                     78,                0.58481,                0.92315,                0.97633,                0.81862,                 0.9328,                0.91919,                0.79143,                0.60113,                 1.0392,                 1.0297,               0.007459,               0.007459,               0.007459
                     79,                0.63312,                 1.0832,                0.96325,                0.88211,                0.93058,                0.93265,                0.83385,                0.49749,                0.81863,                0.93285,               0.007426,               0.007426,               0.007426
                     80,                0.66984,                 1.0614,                0.97979,                 0.8151,                0.96276,                0.93285,                0.84431,                0.47042,                0.79125,                0.90333,               0.007393,               0.007393,               0.007393
                     81,                0.58727,                 1.0761,                 0.8968,                0.88032,                 0.9377,                0.93833,                0.85244,                0.45931,                0.79656,                0.89874,                0.00736,                0.00736,                0.00736
                     82,                0.62697,                0.98909,                0.93673,                0.85821,                0.97176,                0.93236,                 0.8458,                0.50347,                0.78525,                0.92349,               0.007327,               0.007327,               0.007327
                     83,                0.57483,                 1.0912,                0.93312,                0.82735,                0.91125,                0.93284,                0.83403,                0.49395,                0.84123,                0.91423,               0.007294,               0.007294,               0.007294
                     84,                0.63537,                0.95397,                 0.9625,                0.85745,                0.89958,                 0.9371,                0.82747,                0.50141,                0.84009,                 0.9145,               0.007261,               0.007261,               0.007261
                     85,                0.56484,                0.94174,                0.94496,                0.89989,                0.93435,                0.93738,                0.83831,                0.49892,                0.87205,                0.91577,               0.007228,               0.007228,               0.007228
                     86,                0.59166,                0.97025,                0.93705,                0.82939,                0.94105,                0.93215,                0.79482,                0.59515,                0.93135,                0.96676,               0.007195,               0.007195,               0.007195
